beer_ABV,beer_beerId,beer_brewerId,beer_name,beer_style,review_appearance,review_aroma,review_overall,review_palate,review_profileName,review_taste,review_text,review_time
7.4,58046,1075,Rauch Ür Bock,Rauchbier,4,4,4.5,4,djeucalyptus,4.5,"Pours a rich burnt caramel hue with some deep amber hues... dark for a rauchbier. a surprisingly dark tan head slowly fades and leaves ample lacing. aroma is pungently smokey... sweet malt, sweet smoke, and some salted caramel in the nose. the taste, as expected, is smokey. Not the smokiest or most pungent smoke profile I've experienced, but damn up there. and I think it's the intense rich malt and sweetness from the malt that keeps the smoke slightly tamed. A touch of lemon and citrus fruitiness in the finish which blends perfectly with the cherry smoke. It's not as crisp or dry as other Rachbiers, and it seems a bit more full-bodied, with almost a touch of syrupiness to it. which is kind of an interesting take on it. I'm digging it. I'm not usually one to say this, but it's almost a touch malt-forward. Not that it's a bad thing. I think this is probably my favorite domestically produced Rauchbier I've had the pleasure of tasting. It really hits on all cylinders. A touch sweet and malt forward, but all in all, it does what it's going for and works beautifully. Definitely worth seeking out.",1300936020
7.4,58046,1075,Rauch Ür Bock,Rauchbier,3.5,4,4,4.5,ccrida,4,"On draught at The Beer Stein, Rauch r Bock is chestnut brown with a small off-white head that leaves no lace. Nice glow to it though. Smell is smokey and sweet. Both cherry and beechwood were used, but I'm getting mostly cherry in the nose. Taste is really quite smokey, the beechwood really asserting itself here, although the sweetness of the cherry wood and the malt is no slouch either. The smoke has a sharp phenolic quality that I get from peat, but with the sweetness I think it works well. Note it's not cloying, the sweetness is enjoyable and provides relative balance. Mouthfeel is slick, some softness, a medium bodied, and smooth. Nice. Drinkability is really quite good for such a smoke bomb. No doubt inspired by Aecht Schlenkerla, with the body and color of the marzen, but the punch of the ur bock, it one of the best stateside examples of the style, which is rarely attempted and even more rarely successful. I have to say, this was really good, and with just a touch less phenols, would be up a notch easily.",1300237348
7.4,58046,1075,Rauch Ür Bock,Rauchbier,4,3.5,3.5,3.5,cooch69,3.5,"Got this in a 22 ounce bomber. It poured a deep bright brown with a pretty small head. Aromas of smoked kielba, and dark roasted malts. This beer was OK but for a style that I like so much it did'nt really please as much as I thought it would. It had a nice amount of smokiness to it. Really obvious and pretty strong but not charred. But the oily consistency of the beer along with the huge saltiness made the beer less than I was hoping for. It was still a beer that I'm glad I grabbed. They don't make many in the style anyways.",1297290394
7.4,58046,1075,Rauch Ür Bock,Rauchbier,4,4,3.5,3.5,DogFood11,3.5,"When I'm in the mood for something different from my usual assortment of IPA's I usually reach for a smoked beer like a Rauchbier or Porters. Wow this is the mother load of smoked dominance. Nothing subtle about this liquid smoke bomb. Concentrated ash and dried aromatic kindling. Damp Tobacco just adds to the one sided affair. If I had to reach for some balance there is a faint raisin type sweetness buried in the finish. Notes: I'd be interested to see exactly how they brewed this beer. The smoke seems more of an extract additive than natural smoke. A bit much for me. However, a 12oz bottle would have been more appealing for one sitting and it has nothing to do with the moderate ABV. Its a rich SOB.",1291959798
7.4,58046,1075,Rauch Ür Bock,Rauchbier,4,4.5,4,4,brewandbbq,4.5,"22oz bottle. Pours clear amber with a tight, half inch head of bone. Thin but webbed lacing and a partial skim coat for the duration. Aromatics lead off with a blast of smoked malts and caramel. Quite meaty and plump with plenty of doughy malt and smoldering wood. Very nice. Medium bodied with a crisp, slightly tacky mouthfeel. A hint of chew adds some substance. Sweet malt and wafting smoke start the palate. A crisp, clean Munich profile is the perfect arena for plenty of Beechwood smoke with hints of bacon and char. Finishes with unrelenting smoke and rich malt. Great beer. Loads of smoke and very authentic.",1291254447
7.4,58046,1075,Rauch Ür Bock,Rauchbier,4,3.5,3.5,4,Fatehunter,4,"A - Poured out of a bottle into a tulip glass. Lots of bubbles, almost transparent, rust-red color. No head. S - Smoky, smoke smoke. Smells like right after I get the BBQ going but before I throw any meat on the grill. I also get a green olive scent at the beginning. T - Smoke. Burnt wood. Sweet malt at the end. No bitterness at all. I think the smoke mellows out the intense malt sweetness that usually accompanies a bock. M - Very crisp, it is a lager after all. D - A good beer. There are not too many smoked beers made, so for that reason alone I tried it. Well worth it, though it was not my favorite smoked beer.",1286839186
7.4,58046,1075,Rauch Ür Bock,Rauchbier,3,4.5,4.5,4.5,hopsbreath,4.5,"Deep cherry body with a faint beige head the recedes to nothing. No cap, no wisp ring, no lacing. Can't say this looks like anything special. Smokey and spicy summer sausage is all I can smell no matter how I try. It is however a wonderful aroma that I really enjoy. Wow! We have liquid bacon in a glass here! Although initially the cured meat taste is so intense I can't look past it, I was finally able to pick on its other dynamics half way through the bomber. Sweet stone fruits and a touch of orange zest add their nuances to the flavor. Its more complex than I usually find smoked beers to be and I can really enjoy it! Semi-thin in body with fine prickly carbonation is a nice contrast to such a powerful flavor profile. Anything heavier may have been too much. Finishes clean. I found this a little difficult to drink at first due to its uniqueness, but grew accustomed to the pungency. This is a nice sipper if given a chance and I'm really glad I tried it. Recommended.",1286679032
7.4,58046,1075,Rauch Ür Bock,Rauchbier,3.5,4.5,4.5,4,augustgarage,5,"Poured from a 22oz bomber into my Ayinger Celebrator Doppelbock glass. Brilliantly clear rufous body with faint sienna then amber highlights. A faint yellow-ish beige head persists. Light soapy lacing. Melanoidin drenched smoked dark brown sugar laden bready malt aromatics. Simple but absolutely entrancing - takes hold of your reptile brain like bacon. Sweet fruity malty palate entry suffused with delicate layers of smoke. I can't quite tease apart the beechwood and cherry, but the latter adds a bright complexity to the darker tones of the beechwood (which is more standard for this style I believe). Fine smoked ham, pink peppercorn, carmelized winter squash, rye bread, maybe a hint of treacle...at some point the analysis shuts off and the enjoyment takes over. Really well done, the best domestic Rauchbier I've tried thus far. Light-bodied, moderately carbonated, with low astringency. I envy anyone who has access to growlers of this - the drinkability is superior as well as the flavor.",1285545349
7.4,58046,1075,Rauch Ür Bock,Rauchbier,4,4.5,4.5,4,Slatetank,4,"I shared this bottle with tenderbranson69, picked up at Al's of Hampden. Poured chilled from the 22oz into a tulip and snifter. a - a beautiful bronze color w/ ruby highlights, mild haziness w/ translucent clarity and thin cream cap which settles to a ring of tiny beads of carbonation S - There is a very intricate aroma of sweet malt combined with woody smokiness. The hardwood aroma is earthy with a slight hint of caramel from the malt and the smoke is very aromatic with a light stone fruit ester in the background M - The feel is rich with med full body and mild dry smoky texture w/ light bitter tinge and moderate carbonation w/ semi-dry finish T - I enjoyed the brief sweet perky malt which has mild nutty aspect and slight bready quality. The smoke flavor is moderately strong w/ a mild woody and dry flavor not unlike sweet smoked jerky. The taste has a nice herbal hop complimenting the malt bread crumb taste and caramel w/ a smoke that lasts into the semi-sweet finish A - a great Rauchbier, one I could enjoy frequently if it weren't such a large bottle, the mid 7% hinders it slightly too, but this was great to share and I loved the complexity of bock malts w/ smoke and smoothness from the lagering. It is a beer I would like to see more brewers attempt, this is a good representative of the style.",1284135689
7.4,58046,1075,Rauch Ür Bock,Rauchbier,3.5,5,4.5,4.5,Jason,4.5,"22oz brown bomber with no freshness date. Decent sized head with a faint crackle but still a sticky lace, bright amber color. Smells of wood smoke, dry and not bacon-ish with a thick maltiness and peppery alcohol. Big body, slick and smooth. Yeah, the smoke is big but not over the top ... Dry and almost ashy. Malt stands tall with tones of toasted bread, treacle, dried grass. Mild hopping goes a tad herbal in the finish, a little red in the cheeks from the alcohol. Smokiness lingers far into the after taste. So smoky, so tasty ... Love the different woods used on the malt. Alcohol is clean and nearly hidden until halfway through the bottle, a big quaff!!",1283136243
7.4,58046,1075,Rauch Ür Bock,Rauchbier,4,4,4,4,Proteus93,4,"A: Quite a ruby red hue... deep, rich, almost sporting a soft glow. There's a bit of a sandy colour in the head. Not much for lacing, but the glass seems to be playing a role in that, as it has had a couple different brews in it, all of which laced poorly. S + T: I thoroughly enjoy a good rauch, and this one performs quite well in the traditional 'ham and cheese sandwich' sense. It's not overly smoky, which is a positive thing in that it allows some of the other delicate scents and flavours to shine. Of those, I pick up on a light - but noticeable - fruitiness, both in nose and on the palate that seems a little odd. worth note: after writing the above, I noticed the print on the side of the bottle to see that cherry wood is used in addition to beechwood. That would explain the fruitiness noted. M + D: Body feels a little lighter in the mouthfeel, but seems to pick up a little weight after going down, however little sense that might make. The alcohol content is perhaps a little high, but a little slower sipping never hurt anyone. Not a bad take on the style, though I think I personally would have enjoyed it better if the actual smokiness were a touch more robust.",1281495119
7.4,58046,1075,Rauch Ür Bock,Rauchbier,4,4.5,4,4,SShelly,4.5,"Pours dark amber with a short white fizzy head that fades fast. Aroma is BBQ and smoked pork, some sweet malt and a touch of chocolate. Flavor starts out like a smoked pork sandwhich, nice smooth lagered finish. Smoke and sweet malt stick in the mouth something fierce. A beer that performs as advertised, smoke meat and lager all in one, not really a style I want more than one of but still tasty.",1281303716
7.4,58046,1075,Rauch Ür Bock,Rauchbier,4,4.5,4,3.5,zoso1967,4,"This beer pours a very clear and attractive shade of ruby brown. Much less dark than I had anticipated, and carrying a diminutive, but attractive head of parchment foam that leaves very nice lace. The smoky aroma of this beer is very nice. It smells like the smoke that would waft from the smoker at a little restaurant in my home town of Traverse City, Michigan. Porky, sweet and delectable with notes of brown sugar. I suddenly have a huge craving for an ""all meat mess."" The flavor is also quite nice in that the smoke is not too overpowering. Other flavors include sweet dark malt, brown sugar, a bit of cinnamon and leather. Quite nice and well blended. The body is medium with a mouthfeel that seems a bit sticky, but is pretty good. Surprisingly drinkable, and would be great (of course) with BBQ. Not the first smoked beer I have had, but the first I have reviewed. This one makes me want to seek out more.",1277846123
7.4,58046,1075,Rauch Ür Bock,Rauchbier,3.5,4.5,4,3.5,Halcyondays,4,"22 oz. bomber, A: Pours coppery with a medium head, solid retention, no lace. S: Beautiful sweet smoke smell, mix of bock malt and wood/BBQ. T: Not as intense in the smoke arena as Schlenkerla, that's fine. As with the nose, the baked caramel sweetness adds great flavour dimension, with cherry/wood?, mesquite, and sweet BBQ sauce. Really nice interplay of flavours. M: A tad too light in body for 7.4%, but very smooth, bit creamy. D: This is the best of the Kettle Series I've had. A very well made rauchbier, in the same league as Schlenkerla a cheaper price. Rare style too. Good job Caldera.",1275779614
7.4,58046,1075,Rauch Ür Bock,Rauchbier,3.5,4.5,4,4.5,msubulldog25,4,"A nice 'surprise' tap at Bailey's; grabbed a 10 oz. pour ($2.50). A: Deep auburn with the finest haziness; a brief ivory head (less than 1/2 finger) crests then dissolves. What remains is a broken swirl of film and a creamy ring. Decent streaming carbonation. S: Lovely of savory smoke and sugared spiciness...a malty, caramel-laden lager covered gently with grainy husks, burnt yet surprisingly sweet. Strong enough to be smelled from 1-foot away in a crowded room. T: Toffee and spice (notable cinnamon) with a candied fruit after-effect. Oh yeah, a good deal of smoke - a sweet mesquite, reminiscent of barbecued brisket. Herbed and a little tang in the finish. Enough intonations of fruit and a fleeting tartness. M: Velvety feel with a slight prickle (less from carbonation, more from an earthy ground spice). Medium body that borders on heaviness (not unexpected: it IS over 7%). Maltiness coats but isn't cloying; smoke doesn't intrude too much. D: Despite a heavenly aroma and feel and good flavor, this 'only' can muster a 4.0, simply due to a hefty alcohol girth. It's a touch on the sweet side (ur-bock) but the smokiness is well done. Sure it's worth a glass (or two) and is one I'd definitely have again.",1273021280
5.5,25414,1075,Caldera Pale Ale,American Pale Ale (APA),3.5,3.5,4,4,NJpadreFan,4,Caldera- Pale Ale Picked up at Grape & Gourmet (VB) A- Light golden orange with a small fluffy white head. S- Light citrus and pine hops. Slight buttery maltiness. T- Buttery biscuity malt with a nice lemon/ grapefruit citrus and pine hop body. M- Buttery sweet and malty with a nice sweet and bitter hop bite. Overall- Nice malt/ hop balance. Very good sessionable can!,1251327677
5.5,25414,1075,Caldera Pale Ale,American Pale Ale (APA),3.5,3,2.5,3.5,vacax,2.5,"12 oz. can poured into a pint glass. I really like cans for beers like pale ales that are not meant for cellaring and am glad to have another one available in SoCal. Cool green tab but sadly no canning or best by date. Pours a nice rich gold with a pure white head that grows excessively. Slow pour down a tilted glass and cannot even get the whole can into a pint glass. The retention is good, however, and lacing is great. Lots of bubbles cascading upwards from the bottom of the glass. The aroma is mild and consists of a bit of hoppy earthiness and some candied oranges. The flavor starts with a mild hops bittering and quickly adds a touch of sweetness to balance it out. Earthy and slightly piney with bitter sappy sugar.. The bittering is not high, but there is little aroma hopping evident or much malt complexity either. This is a very light pale ale with little going on beyond some bittering hops, leaving a slightly floral but vegetal finish. An okay beer for a local brewpub, but not quite up to the standard of most pale ales in distribution. Light bodied, creamy, lots of smooth bubbles. A simple beer, but not really in a good way. This needs some more aroma hopping or some other type of complexity. Long floral/vegetal finishing damages drinkability. Unless one is dying to try a new pale ale, I would not recommend this.",1250928902
5.5,25414,1075,Caldera Pale Ale,American Pale Ale (APA),4,3.5,4,4,d0ggnate,3.5,"A: Pours a cloudy orange with a crisp white two finger head layer. S: Slightly citrusy with a bit of hops here, too. T: Malty and hoppy, but neither overpowers. Very well balanced. M: Calm and balanced flavors. D: This would be a great beer for a hot summer day. Nothing wild, but simply a good beer.",1249866208
5.5,25414,1075,Caldera Pale Ale,American Pale Ale (APA),4,3.5,4.5,3.5,babyhobbes,4,"Received this can through Beer Powerball. I am really sorry that I don't know who sent it, my brother is keeping those records, but THANK YOU!! Pours with a nice half centimeter white fluffy head on a glass of dark straw-colored beer. Smells of citrusy hoppy goodness and oddly, a little like soap. Mouthfeel is very pleasant as is taste. This is a nice drinking beer. It's not blow you away with over-the-top flavor. It's a well-balanced, highly drinkable and enjoyable brew. I'm glad to have gotten the chance to try it.",1249847121
5.5,25414,1075,Caldera Pale Ale,American Pale Ale (APA),4,3.5,4.5,4,mdagnew,4,"355ml can bought from Beersofeurope.com... Poured a golden yellow colour with a slight haze... White head poured fairly thick and foamy then faded to decent light covering... light carbonation... good sticky lacing lines cling to the glass... Aroma - Light maltiness mixed with a good dose of citrusy and peppery hops, pine, tart fruits (grapefruit, lemons, apples), very floral, quite grassy, faint honey sweetness, light breadiness, some sea salt... Taste - Good grassy and citrus hop bitterness, light pine, tart fruits (grapefruits, apples), light sweet biscuit malts, peppery, some salty notes, floral and perfumed... Feel - Quite smooth with a little bite underneath... light / medium body. Very, very quaffable and refreshing... Overall - A excellent, straightforward, hoppy APA... recommended...",1249556277
5.5,25414,1075,Caldera Pale Ale,American Pale Ale (APA),4.5,3.5,4,4,mikesgroove,4,"I received this one in a BIF recently and it was the first thing I grabbed out of the fridge when I got home on Friday. Served cold and poured into a pint glass, this one was consumed on 07/31/2009. Appearance - One of the best pours from a pale ale you could possibly ask for. Seriously. Big head of white foam on top that barely falls back down to earth. Wonderful clear amber color that really just looks the part perfectly. Lots of carbonation creeping up the glass throughout And a really nice coating of spider like webbing. Smell - Aroma is lighter then I would have thought. Nice light grains, a touch of piney hops. As it warms a bit of citrus starts to come though, but again, lighter then I would have thought. Taste - Crisp, clean, the first sip has a biting touch to it as the pine and citrus start to roll through. Nice grains come in mid palate and then it rolls right back into a nice and dry bitter finish. Clean aftertaste leaves you to come back and look for a bit more. Feel - Light, airy and well carbonated. I had no issue at all with going forward with this one. The feel matched the overall experience very nicely. Drinkability - Session able, very nice and clean and easy drinking. Again had really no issue at all with putting this one away. Overall - Solid. Nothing earth shattering here but very solid. I would not mind at all grabbing a six pack and heading to the beach. Really very well done.",1249347819
5.5,25414,1075,Caldera Pale Ale,American Pale Ale (APA),4,3.5,4,4,hdofu,4,"Orangeish with a peach head. Smell was hoppy. Taste was hoppy, not alot else going on. Not exciting but not boring either. It was easy to swallow but not alot else. Its something I could drink a few of. Good if you want a session beer but don't want a strong flavor.",1248223105
5.5,25414,1075,Caldera Pale Ale,American Pale Ale (APA),3.5,4,3.5,3.5,argock,4,"Poured from 12oz can into a clear pint glass. No freshness date. Single purchased at Wine Warehouse (Charlottesville, VA) for $2.15. A: Honey-orange with solid 2-finger ivory head with decent retention and only a crown of lace. S: Plenty of hops in this one with above-average pale malt backbone with leafy and grapefruit aromas dominating. T: The flavor is good but a touch flat for the style, owing mainly to the lack of character in the maltload. The malt component is not quite sweet or roasted enough, which leaves a somewhat bland quality to this aspect. The hops are highly bitter and pretty harsh: a little more floral and citrus character would blend better with the ambiguous malting. Motwithstanding, this is an above-average APA without a doubt. M: Feel is a little thin for the style, although not far off with a medium-light body. Carbonation is a bit too short in supply. The aftertaste is very long with bitter and leafy hops notes persisting. D: A pretty good APA with a big price tag relatively. Solid and highly bitter for the style and could use a little more finesse. Still, enjoyable and didn't last long.",1248142715
5.5,25414,1075,Caldera Pale Ale,American Pale Ale (APA),4,4,3.5,3.5,Seanibus,3.5,"I wish the flavor bore out the strength of the aroma, which it does not, but still not a bad beer. Pours a startling straw yellow with a smallish head that falls to nice lacing. The aroma is the strong point - assertively grainy with a crisp hop aroma, mostly grassy with a little flower. I really looked forward to tasting this beer. But it was weaker than I might have hoped, with less of a malt backbone that the aroma suggested and more emphasis on the flowery side of hop character. The bitterness rests, curiously, mostly on the foretaste, with relatively little clinging to the back. The mouthfeel is quite thin, almost insubstantial. This is a decent beer, but nothing to get excited about.",1247611689
5.5,25414,1075,Caldera Pale Ale,American Pale Ale (APA),4.5,4,5,4.5,GratefulBeerGuy,4,"I'm really enjoying the variety of quality brews in a CAN i'm finding here in Northern California! this was reviewed while camping at Castle lake campgrounds in shasta city...i think. Ooooh yeah, cracking open a can sounds good!! a thick, solid and rocky -white head stands proud like Mt. shasta itself over a bright plae golden liquid, much like the N.Cali sunsets. Retention is amazing, it's not going anywhere anytime soon. The nose is just bursting with hoppy cascade aroma's!! Sweet fruits, musty herbs, wheat and corn and light but sweet malt. This all cascade beauty has a great aroma. The hoppy flavor's here are deep and very complex, cascade hoppiness all in my face. Light and very, very crispy feel is exciting and spot-on for the style. crisp with a creamy smooth finish from the beastie foam still clumping it's way down slow. The cascade hops provide a gentle fruitiness and perfect dry-herbal and earthy complexity. I havn't been this excited for a Pale ale since my very first Sierra Nevada!!(circa 1996) This pale ale in a can has made my day, and I'm camping in one of the most pristine locations I've ever been too. This is simply one of, if not THE best Pale ale i've ever had. Bring on the cans!!!",1246913078
5.5,25414,1075,Caldera Pale Ale,American Pale Ale (APA),4,4,4.5,4.5,PDXHops,4.5,"12 oz. can, poured into a tulip. See-thru deep gold body with a finger's worth of creamy off-white head. Pretty good retention and lacing. Fairly strong citrusy hop bouquet with a pleasant mild sweetness and biscuity malt. Smells like it will be a crisp, dry brew. And so it proves to be. There's a bit of honeyish sweetness up front, but it's immediately bullied around by a tag team of citrus (orange zest and grapefruit) and sharp pine needle flavors. There's a bit of earthiness in there, too. The sweetness dries up torward the finish as the citrus is joined by some pine needles for a sharp sting of bitterness and a rather 'scratchy' mouthfeel. After a couple of seconds, the bitterness is chased away by a crisp snap of biscuity malt. Carbonation is lively, and the beer starts off as seemingly medium-bodied, but 'fluffs up' in to something pretty substantial. Overall impression: Excellent APA. Bold and flavorful, yet incredibly drinkable.",1246835039
5.5,25414,1075,Caldera Pale Ale,American Pale Ale (APA),4,4,4,4,IMincedTheKing,4,"Pours a deep shade of gold with a fluffy ecru head. The aroma is biscuity, bolstered by grapefruit hops. The brew slides across the tongue, nice and oily. Malt and hops hold together in a nice balance, the hops always penetrating but never dominating. A tad sweeter than I'd like with a mild butter profile. This is a good, but not great, beer.",1245632401
5.5,25414,1075,Caldera Pale Ale,American Pale Ale (APA),4,3.5,4,4,Goliath,3.5,"Pours a clear golden color with a slight orange hue. A one inch bright white head sits on top and lingers with decent retention and it leaves a nice collar of lace behind. The aroma is decent. There's a slight hop presence giving a bit of citrus. There's a slight sweetness theres as well as a nice pale malt profile. The taste is ok. There's a slight hop presence giving a bit of citrus. It's well balanced with a big malt presence. Nice overall. Mouthfeel is medium bodied and nicely carbonated. Drinkability is fairly high. It's easily sessionable, and the flavor profile is decent for a pale. No major complaints.",1245007399
5.5,25414,1075,Caldera Pale Ale,American Pale Ale (APA),3.5,3.5,4,4,zeff80,4.5,"A - Poured out a clear, orange color with gold highlights. It had a foamy, fizzy, one-finger layer of white foam that left minimal lacing. S - It had a moderately grassy aroma with notes of orange. It also had a gentle caramel scent. T - It tastes of bitter grassy hops with a snappy, spice flavor. The ale also had a burnt toast maltiness. M - It was sharp and lively on the tongue. A light bodied pale ale. D - This is a pleasant tasting pale ale. It's nice to have a sessionable ale in a can.",1243386855
5.5,25414,1075,Caldera Pale Ale,American Pale Ale (APA),4,3.5,4,4,akorsak,4,"A 12 oz can from Liquid Solutions. A: The pale ale is appropriately pale, a light golden hue that has more yellow than orange in the mix. The light color has a slight haze to it. A finger of head left dry patches of lace around the mouth of the glass. S: The aroma is mostly malty, sweet with a thick bready presence. Hops are just below the malts with a less assertive citrus body of lemon and grass. T: The hops are far more aggressive in the taste, showing off a grassy taste that quickly goes citrus. The hops are agressive, coming close to turning this into an IPA. The malty breads are well-balanced against the hops, especially later in each sip. The carbonation keeps the hop profile lively. M: The hop profile needs some time to come through. When it does, the hops leave a very nice finish. D: The full hop profile makes the ale taste bigger than it is. Other than that, this is another example of a good pale ale in a can.",1243111472
5.5,25414,1075,Caldera Pale Ale,American Pale Ale (APA),3.5,3,4,3.5,wchesak,4,"Poured into pint glass. A - reminiscent of a pilsner more than an APA, 2 fingers of white head, head lasted a while, just kinda floated there S - light hints of citrus, mostly grapefruit and lemon, maybe a little bready T - hop blast, pretty bitter and dry, follows the smell closely M - good carbonation, good body for the style, not too light and certainly not heavy D - great for a canned beer, cant beat the portability and taste, just started to get the caldera brews in my local beer store, will continue to try new ones",1242695740
5.5,25414,1075,Caldera Pale Ale,American Pale Ale (APA),3.5,3.5,3.5,4,beer2day,3.5,"Pours a pale straw gold with a frothy light 2 finger head. Decent retention. Good lacing. Nice carbonation. Nose is faint, with pine and light citrus coming through. Slightly yeasty. Very sharp on the tongue. Bitter, but more than hops contributing to this aspect of the flavor. Odd that the bitterness tends to fade before the taste does.",1242591041
5.5,25414,1075,Caldera Pale Ale,American Pale Ale (APA),2.5,3.5,4,3.5,bfields4,4,"Pours a crisp clear pale gold color with a small head that dissipates rather quickly. Has a bitter hoppy pine and citrus smell. Very pungent for a APA. Bitter bite hits right away and fades to a smooth caramel malty biscuity flavor. Not very complex, but good tastes none the less. A very light smooth beer. Very sessionable could def hammer a few of these back.",1240194272
5.5,25414,1075,Caldera Pale Ale,American Pale Ale (APA),4,4,4,4,dyan,3.5,"Grabbed a single at State Line A: Clear light orange with a finger-thick off white head. Decent retention and lacing. S: Citrus hops and a biscuity malt and a mild honey like character. Orange and grapefruit contribute to the aroma with a little sharp pine in the back T: Opens up with a chalky orange and citrus hop flavor, with a very light malt sweetness present. Balance is tilted in favor of flavor hops, with a touch of citrus rind bitterness on the finish. M: Light in body, great carbonation and a solid finish D: I will revisit this, especially come camping season",1239404031
5.5,25414,1075,Caldera Pale Ale,American Pale Ale (APA),4,3.5,3.5,3.5,Monkeyknife,3.5,"Poured from the can a clear golden hue with two fingers of bright white head. Good lacing all around. Aroma is slightly sour and malty much like a pilsner. A slight whiff of sulfur and vegetables as well. The taste has a bitter edge along with malt and biscuit. Lighter bodied, dry, and moderately carbonated. Pretty drinkable, but this is a fairly decent pale ale that sits in the middle of the pack.",1238806680
5.5,25414,1075,Caldera Pale Ale,American Pale Ale (APA),4,4,4.5,3.5,HopDerek,3.5,"Pours a clear gold with some amber hues. Three + fingers of white head slowly dissipates to a finger's width of foamy capping with some good spotty lacing. Smells of honey, toasted grain, floral hops, and a touch of citrus. Tastes of citrus juice up front followed by grainy bread and a honey/caramel sweetness with just a touch of butter. Finishes with some dry grass and spicy hop bitterness. Medium in body with gentle carbonation. A tad bit watery in places, but overall balanced, solid, and smooth with a crisp dry finish. A pleasant pale ale that is easy to drink and quite sessionable. Very flavorful, and pretty IPA-ish for a Pale Ale, I like it!",1238102425
5.5,25414,1075,Caldera Pale Ale,American Pale Ale (APA),4.5,4,4.5,4,djeucalyptus,4,"pours a crystal-clear light golden hue with lemon and straw highlights. A light foamy one-plus-finger has descent retention, fading to leave behind some stellar lacing. aroma if light pale malt and fresh clean hopping. Citrus, pine, hints of lemon, grapefruit, orange, and a smidgen of pineapple. a touch of grassiness and a bit of hard to pinpoint spiciness - yeast? Tastes deliciously hoppy, as a good Oregon pale would be expected to. Citrus leads, followed by a touch of pine and some tropical fruit notes of pineapple and manilla mango. some subtle spicy hops add a bit more depth than the average apa. Just enough light malting to be detectable without coming across malty. smooth and clean with a moderate body for a pale and ample clean carbonation to provide a nice finish. a lingering hop bitterness pairs with just a hint of caramel sweetness on the tongue to keep me happy and wanting more. I've been a long-time caldera fan, and it's become one of my go to APAs - not just from a can. The can is just an added bonus. Unbelievably drinkable, the hops are strong but not overpowering, the malt and sweetness just enough to keep me addicted. Definitely a must-try.",1237995185
5.5,25414,1075,Caldera Pale Ale,American Pale Ale (APA),4,3.5,5,4,mtrentm,5,"Poured from a can into a pint glass. A: Pours clear, golden color with a one-finger off-white head that quickly leaves. S: Aroma is light & simple, floral citrus hops with some caramel malts lingering on the tale end. T: More than expected from the aroma. Lots of citrus flavors, grapefruit, lemon, orange & a bit of toasted malt. Very clean & tasty! Can't wait for another sip! M: Medium-full, kind of oily, moving to a crisp off-dry some what spicy finish. D: Fantastic drinkability! A huge fan of what Caldera is doing with cans. Awesome for camping/hiking, skiing, fishing, or anything where you don't want the weight of a bottle, but the quality of a micro brew. Easy to pack-in & pack-out.",1235940573
5.5,25414,1075,Caldera Pale Ale,American Pale Ale (APA),4.5,4,5,4,maximum12,4,"Thanks to thirstyhophead, who introduced me to the pleasures of the Caldera IPA, & threw this can into a subsequent trade. I don't dare hope it'll be as good. Lovely brew poured into my Lost Abbey chalice, with a nice shade of yellow, not piss-yellow like Bud, but more amber & deeper. Smells like a pale ale. This is a nice brew. The flavor is present & accounted for without being overwhelming. I think this would be a superb gateway beer for a BMC drinker - there's not so much flavor to cause anyone to drop their Coors Light & run screaming, but it has enough for us dedicated beer freaks to have a sip & go...mmm. That's nice. The lighter flavor, I've noticed, encourages bigger sips, & I'm trying not to gulp this one down too fast. It's a long night. Pace yourself. Did I hear session beer? This would be a great beer to find on tap at the local pub, tasty, easy-drinking, but with a low enough ABV that you're not playing bumper cars in the lot after three of them. That's two very good beers from this mystery brewery. I will stop by if I'm ever in the neighborhood.",1235869779
5.5,25414,1075,Caldera Pale Ale,American Pale Ale (APA),3.5,4,3.5,3.5,blackie,3.5,"a: clear golden colored ale capped by a one-finger off white head, average retention s: primarily tropical hops on the nose, pulpy and above the strength typically found in the style, malts contribute little aside from a light grain sweetness, pretty nice m: light-medium carbonation and body t: simple pale malt base provides flavors of honeyed grain, pulpy topical hop flavor with a sharp, clean citrus bite, moderate bitterness, more malt character would be beneficial here d: all said, this is an enjoyable beer though on the pricey side for what it is single from Grape & Gourmet, Virginia Beach, VA",1235799776
5.5,25414,1075,Caldera Pale Ale,American Pale Ale (APA),3.5,3.5,4,3.5,JayQue,4,"A new beer for the Tidewater Virginia area, Grape and Gourmet had it. 12 0z can. Appearance is pretty average: straw color, fairly clear, small to medium pillowy white head, no lacing, less than average head retention. Smell is fairly average also, some hops. Tastes pretty good. A malty backbone with some hint of floral and piney hops throughout and a definite hops finish. Mouthfeel is crisp and fairly rich for the style. Not a watery BMC. Drinkability is solid. This is a session oriented beer..especially for warm weather. I could do several of these. If we had this one on tap, it would be a real summertime winner.",1234402493
5.5,25414,1075,Caldera Pale Ale,American Pale Ale (APA),3.5,3.5,4.5,4,bbothen,3.5,"Pours out a pale straw like color with a bubbly 2 finger deep white head. Smells of light flowery Cascade hoppiness, pine, spruce, tropical. Flavor is soft bisquity maltiness, piney hops, faint caramel sweetness, earthy tone, nicely balanced. Crisp, clean, light to medium bodied, lingering bitterness. Highly drinkable. excellent summer session brew. Should be a campsite/cooler standard.",1234301164
